Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
dulaglutide,TRULICITY dulaglutide (rch) 1.5 mg/0.5 mL solution for injection prefilled pen,AUST R: 217965,Expected supply: 30 Jun 2026,Availability: Limited Availability,Management action: A TGA web statement is available at: www.tga.gov.au/trulicity-shortage The sponsor is closely monitoring stock levels and releasing stock to wholesalers as equitably as possible. An unregistered product has been approved for supply under Section 19A. See the website: https://www.tga.gov.au/ws-s19a-index and search for the active ingredient.,Updated 07-04-2025
buprenorphine hydrochloride,TEMGESIC buprenorphine 300microgram/1mL (as hydrochloride) injection ampoule,AUST R: 15394,Expected supply: 31 Oct 2025,Availability: Unavailable,,Updated 07-04-2025
atorvastatin calcium trihydrate,Ezetast 10/80 ezetimibe and atorvastatin (as calcium trihydrate) 10 mg/80 mg tablets blister pack,AUST R: 306956,Expected supply: 01 Aug 2025,Availability: Unavailable,Management action: The sponsor is working to expedite the next shipment.,Updated 07-04-2025
potassium chloride,POTASSIUM CHLORIDE ABORNS 750mg/10mL injection ampoule,AUST R: 320597,Expected supply: 15 Jun 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 07-04-2025
hydrochlorothiazide,AVSARTAN HCT 300/25 irbesartan 300 mg and hydrochlorothiazide 25 mg tablets blister pack,AUST R: 272662,Expected supply: 25 Jul 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-04-2025
hydrochlorothiazide,AVSARTAN HCT 300/12.5 irbesartan 300 mg and hydrochlorothiazide 12.5 mg tablets blister pack,AUST R: 272659,Expected supply: 25 Jul 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 07-04-2025
metronidazole,METROGYL 400 metronidazole 400mg tablet bottle,AUST R: 17655,Expected supply: 13 Jun 2025,Availability: Limited Availability,Management action: An alternative brand is available.,Updated 07-04-2025
amiodarone hydrochloride,AMIODARONE JUNO amiodarone hydrochloride 150mg/3mL solution for injection ampoule,AUST R: 233673,Expected supply: 30 Apr 2025,Availability: Unavailable,"Management action: The sponsor is working to expedite the next shipment. An alternative brand is available. 
Unregistered products have been approved for supply under Section 19A. See the website and search for the active ingredient: https://www.tga.gov.au/resources/section-19a-approvals",Updated 07-04-2025
nitrofurantoin,ARX-Nitrofurantoin 100 mg capsule blister,AUST R: 373270,Expected supply: 23 May 2025,Availability: Limited Availability,Management action: Alternative generic product is available. Sponsor is working to expedite the next shipment.,Updated 07-04-2025
pegaspargase,ONCASPAR pegaspargase 3750 units/5mL powder for solution injection/infusion vial,AUST R: 303807,Expected supply: 31 Jul 2025,Availability: Limited Availability,"Management action: The sponsor is working to expedite the next shipment. An unregistered product has been approved for supply under Section 19A. The approval holder, Servier Laboratories (Aust) Pty Ltd, can be contacted for details on supply on 1800 153 590.",Updated 07-04-2025
